Series,Part #,Load (lb),Stiffness (lb/in),Type,A (in),B (in),C (in),D (in),E (in),Plate ID (in),Plate Thickness (in)
2600,,200 - 350,2000 - 3500,1,2.34,0.66,1.81,1.1,1.4,1.83,1
2600,2600-X0,200,2000,1,2.34,0.66,1.81,1.1,1.4,1.83,1
2600,2600-X1,250,2500,1,2.34,0.66,1.81,1.1,1.4,1.83,1
2600,2600-X2,300,3000,1,2.34,0.66,1.81,1.1,1.4,1.83,1
2600,2600-X3,350,3500,1,2.34,0.66,1.81,1.1,1.4,1.83,1
2610,,550 - 1000,5500 - 10000,3,4,0.63,1.61,1.1,1.01,1.61,1.31
2610,2610-X3,550,5500,3,4,0.63,1.61,1.1,1.01,1.61,1.31
2610,2610-X5,1000,10000,3,4,0.63,1.61,1.1,1.01,1.61,1.31
2620,,550 - 1000,5500 - 10000,3,4,0.63,1.61,1.54,2.04,1.61,1.31
2620,2620-X3,550,5500,3,4,0.63,1.61,1.54,2.04,1.61,1.31
2620,2620-X5,1000,10000,3,4,0.63,1.61,1.54,2.04,1.61,1.31
2625,,105 - 105,2625 - 2625,1,1.88,0.53,1.24,0.78,0.97,1.25,0.62
2625,2625-X2,105,2625,1,1.88,0.53,1.24,0.78,0.97,1.25,0.62
2630,,550 - 1760,6875 - 22000,1,3.5,0.94,2.24,1.04,1.44,2.24,1
2630,2630-X1,550,6875,1,3.5,0.94,2.24,1.04,1.44,2.24,1
2630,2630-X2,670,8375,1,3.5,0.94,2.24,1.04,1.44,2.24,1
2630,2630-X4,980,12250,1,3.5,0.94,2.24,1.04,1.44,2.24,1
2630,2630-X5,1120,14000,1,3.5,0.94,2.24,1.04,1.44,2.24,1
2630,2630-X7,1760,22000,1,3.5,0.94,2.24,1.04,1.44,2.24,1
2640,,700 - 1650,2333 - 5500,1,3.54,0.59,2.61,1.57,1.89,2.65,0.75
2640,2640-X4,1000,3333,1,3.54,0.59,2.61,1.57,1.89,2.65,0.75
2640,2640-X5,1250,4167,1,3.54,0.59,2.61,1.57,1.89,2.65,0.75
2640,2640-X6,1650,5500,1,3.54,0.59,2.61,1.57,1.89,2.65,0.75
2640,2640-X3,700,2333,1,3.54,0.59,2.61,1.57,1.89,2.65,0.75
2645,,110 - 340,1222 - 3778,1,3.64,0.64,2.62,1.19,1.18,2.65,0.75
2645,2645-X5,340,3778,1,3.64,0.64,2.62,1.19,1.18,2.65,0.75
2645,2645-X0,110,1222,1,3.64,0.64,2.62,1.19,1.18,2.65,0.75
2645,2645-X1,135,1500,1,3.64,0.64,2.62,1.19,1.18,2.65,0.75
2645,2645-X2,170,1889,1,3.64,0.64,2.62,1.19,1.18,2.65,0.75
2645,2645-X3,220,2444,1,3.64,0.64,2.62,1.19,1.18,2.65,0.75
2645,2645-X4,270,3000,1,3.64,0.64,2.62,1.19,1.18,2.65,0.75
2650,,250 - 250,5000 - 5000,2,2,0.53,1.25,0.52,0.58,1.25,0.25
2650,2650-X3,250,5000,2,2,0.53,1.25,0.52,0.58,1.25,0.25
2662,,465 - 650,11625 - 16250,2,2.5,0.64,1.63,0.62,0.56,1.65,0.18
2662,2662-X3,465,11625,2,2.5,0.64,1.63,0.62,0.56,1.65,0.18
2662,2662-X5,650,16250,2,2.5,0.64,1.63,0.62,0.56,1.65,0.18
2663,,525 - 1200,13125 - 30000,2,2.5,0.64,1.5,0.62,0.94,1.53,0.88
2663,2663-X3,525,13125,2,2.5,0.64,1.5,0.62,0.94,1.53,0.88
2663,2663-X5,850,21250,2,2.5,0.64,1.5,0.62,0.94,1.53,0.88
2663,2663-X7,1200,30000,2,2.5,0.64,1.5,0.62,0.94,1.53,0.88
2665,,500 - 1100,12500 - 27500,2,2.98,0.64,1.8,0.81,1.12,1.8,0.93
2665,2665-X6,1100,27500,2,2.98,0.64,1.8,0.81,1.12,1.8,0.93
2665,2665-X3,500,12500,2,2.98,0.64,1.8,0.81,1.12,1.8,0.93
2680,,500 - 1100,10000 - 22000,2,3.5,0.94,2.23,1.04,1.44,2.26,1
2680,2680-X3,500,10000,2,3.5,0.94,2.23,1.04,1.44,2.26,1
2680,2680-X6,900,18000,2,3.5,0.94,2.23,1.04,1.44,2.26,1
2680,2680-X7,1100,22000,2,3.5,0.94,2.23,1.04,1.44,2.26,1
