Series,Part #,Load (lb),Stiffness (lb/in),Type (for image),A (in),B (in),C (in),D (in),E (in),F (in),Plate ID (in),Plate Thickness (in)
2100,,75 - 125,3000 - 5000,1,1.09,0.4,0.81,0.62,0.22,1.02,0.75,0.31
2100,2100-X1,75,3000,1,1.09,0.4,0.81,0.62,0.22,1.02,0.75,0.31
2100,2100-X3,100,4000,1,1.09,0.4,0.81,0.62,0.22,1.02,0.75,0.31
2100,2100-X4,125,5000,1,1.09,0.4,0.81,0.62,0.22,1.02,0.75,0.31
2104,,55 - 55,2750 - 2750,1,1,0.34,0.75,0.32,0.19,0.43,0.74,0.14
2104,2104-X0,55,2750,1,1,0.34,0.75,0.32,0.19,0.43,0.74,0.14
2105,,120 - 120,6000 - 6000,1,1,0.38,0.75,0.44,0.19,0.55,0.74,0.25
2105,2105-X3,120,6000,1,1,0.38,0.75,0.44,0.19,0.55,0.74,0.25
2110,,90 - 225,4500 - 11250,1,1.09,0.38,0.76,0.69,0.21,0.76,0.74,0.5
2110,2110-X1,90,4500,1,1.09,0.38,0.76,0.69,0.21,0.76,0.74,0.5
2110,2110-X5,225,11250,1,1.09,0.38,0.76,0.69,0.21,0.76,0.74,0.5
2112,,50 - 155,2000 - 6200,1,1.09,0.33,0.81,0.62,0.22,0.75,0.75,0.25
2112,2112-X1,50,2000,1,1.09,0.33,0.81,0.62,0.22,0.75,0.75,0.25
2112,2112-X3,90,3600,1,1.09,0.33,0.81,0.62,0.22,0.75,0.75,0.25
2112,2112-X5,125,5000,1,1.09,0.33,0.81,0.62,0.22,0.75,0.75,0.25
2112,2112-X6,155,6200,1,1.09,0.33,0.81,0.62,0.22,0.75,0.75,0.25
2114,,195 - 195,6500 - 6500,1,1.26,0.39,0.76,1.59,0.31,1.71,0.79,1.25
2114,2112-X7,195,6500,1,1.26,0.39,0.76,1.59,0.31,1.71,0.79,1.25
2115,,-,-,1,1.09,0.39,0.76,0.69,0.21,0.92,0.74,0.5
2115,2115,,,1,1.09,0.39,0.76,0.69,0.21,0.92,0.74,0.5
2116,,215 - 215,7167 - 7167,1,1.26,0.39,0.76,0.98,0.26,0.98,0.74,
2116,2116-X7,215,7167,1,1.26,0.39,0.76,0.98,0.26,0.98,0.74,
2118,,100 - 250,1111 - 2778,1,1.25,0.41,0.95,1.07,0.55,1.44,0.9,0.38
2118,2118-X1,100,1111,1,1.25,0.41,0.95,1.07,0.55,1.44,0.9,0.38
2118,2118-X4,150,1667,1,1.25,0.41,0.95,1.07,0.55,1.44,0.9,0.38
2118,2118-X5,175,1944,1,1.25,0.41,0.95,1.07,0.55,1.44,0.9,0.38
2118,2118-X6,210,2333,1,1.25,0.41,0.95,1.07,0.55,1.44,0.9,0.38
2118,2118-X7,250,2778,1,1.25,0.41,0.95,1.07,0.55,1.44,0.9,0.38
2118A,,120 - 205,1333 - 2278,2,1.25,0.41,1.25,1.07,0.61,1.44,1.38,
2118A,2118A-X1,120,1333,2,1.25,0.41,1.25,1.07,0.61,1.44,1.38,
2118A,2118A-X5,180,2000,2,1.25,0.41,1.25,1.07,0.61,1.44,1.38,
2118A,2118A-X6,205,2278,2,1.25,0.41,1.25,1.07,0.61,1.44,1.38,
2119,,850 - 850,42500 - 42500,1,1.27,0.4,0.81,0.83,0.35,0.97,0.78,0.5
