Series,Part #,Load (lb),Stiffness (lb/in),Type,A (in),B (in),C (in),D (in),E (in),F (in),Plate ID (in),Plate Thickness (in)
2405,,125 - 125,2500 - 2500,,1.33,0.4,0.73,0.52,0.7,2.13,0.75,1.25
2405,2405-X3-B,125,2500,,1.33,0.4,0.73,0.52,0.7,2.13,0.75,1.25
2405,2405-X3,125,2500,,1.33,0.4,0.73,0.52,0.7,1.25,0.75,0.38
2420,,195 - 740,1950 - 7400,1,1.88,0.53,1.23,0.78,1.03,1.94,1.25,0.56
2420,2420-X0,195,1950,1,1.88,0.53,1.23,0.78,1.03,1.94,1.25,0.56
2420,2420-X1,230,2300,1,1.88,0.53,1.23,0.78,1.03,1.94,1.25,0.56
2420,2420-X2,300,3000,1,1.88,0.53,1.23,0.78,1.03,1.94,1.25,0.56
2420,2420-X3,360,3600,1,1.88,0.53,1.23,0.78,1.03,1.94,1.25,0.56
2420,2420-X5,515,5150,1,1.88,0.53,1.23,0.78,1.03,1.94,1.25,0.56
2420,2420-X6,640,6400,1,1.88,0.53,1.23,0.78,1.03,1.94,1.25,0.56
2420,2420-X7,740,7400,1,1.88,0.53,1.23,0.78,1.03,1.94,1.25,0.56
2425,,200 - 550,2000 - 5500,1,1.88,0.53,1.25,0.78,0.89,1.63,1.25,0.25
2425,2425-X0,200,2000,1,1.88,0.53,1.25,0.78,0.89,1.63,1.25,0.25
2425,2425-X1,230,2300,1,1.88,0.53,1.25,0.78,0.89,1.63,1.25,0.25
2425,2425-X3,350,3500,1,1.88,0.53,1.25,0.78,0.89,1.63,1.25,0.25
2425,2425-X4,450,4500,1,1.88,0.53,1.25,0.78,0.89,1.63,1.25,0.25
2425,2425-X5,550,5500,1,1.88,0.53,1.25,0.78,0.89,1.63,1.25,0.25
2425B,,170 - 550,1700 - 5500,1,1.88,0.53,1.25,0.78,0.89,1.77,1.25,0.39
2425B,2425-X3-B,350,3500,1,1.88,0.53,1.25,0.78,0.89,1.77,1.25,0.39
2425B,2425-X4-B,450,4500,1,1.88,0.53,1.25,0.78,0.89,1.77,1.25,0.39
2425B,2425-X5-B,550,5500,1,1.88,0.53,1.25,0.78,0.89,1.77,1.25,0.39
2425B,2425-X00-B,170,1700,1,1.88,0.53,1.25,0.78,0.89,1.77,1.25,0.39
2425B,2425-X1-B,230,2300,1,1.88,0.53,1.25,0.78,0.89,1.77,1.25,0.39
2427,,225 - 550,2250 - 5500,1,1.88,0.53,1.25,0.78,0.94,1.75,1.25,0.37
2427,2427-X1,225,2250,1,1.88,0.53,1.25,0.78,0.94,1.75,1.25,0.37
2427,2427-X3,350,3500,1,1.88,0.53,1.25,0.78,0.94,1.75,1.25,0.37
2427,2427-X5,550,5500,1,1.88,0.53,1.25,0.78,0.94,1.75,1.25,0.37
2440,,350 - 1300,3889 - 14444,1,2.55,0.65,1.48,0.9,1.15,2.23,1.5,0.63
2440,2440-X3,350,3889,1,2.55,0.65,1.48,0.9,1.15,2.23,1.5,0.63
2440,2440-X4,450,5000,1,2.55,0.65,1.48,0.9,1.15,2.23,1.5,0.63
2440,2440-X5,550,6111,1,2.55,0.65,1.48,0.9,1.15,2.23,1.5,0.63
2440,2440-X6,675,7500,1,2.55,0.65,1.48,0.9,1.15,2.23,1.5,0.63
2440,2440-X7,850,9444,1,2.55,0.65,1.48,0.9,1.15,2.23,1.5,0.63
2440,2440-X8,1050,11667,1,2.55,0.65,1.48,0.9,1.15,2.23,1.5,0.63
2440,2440-X9,1300,14444,1,2.55,0.65,1.48,0.9,1.15,2.23,1.5,0.63
2441,,375 - 1400,3750 - 14000,1,2.55,0.65,1.48,0.9,1.15,2.23,1.5,0.88
2441,2441-X2,450,4500,1,2.55,0.65,1.48,0.9,1.15,2.23,1.5,0.88
2441,2441-X5,700,7000,1,2.55,0.65,1.48,0.9,1.15,2.23,1.5,0.88
2441,2441-X6,950,9500,1,2.55,0.65,1.48,0.9,1.15,2.43,1.5,0.88
2441,2441-X8,1400,14000,1,2.55,0.65,1.48,0.9,1.15,2.43,1.5,0.88
2441,2441-X1,375,3750,1,2.55,0.65,1.48,0.9,1.15,2.23,1.5,0.88
2443,,350 - 400,3000 - 4000,1,2.55,0.65,1.48,0.9,1.15,2.23,1.5,0.88
2443,2443-X0,350,3000,1,2.55,0.65,1.48,0.9,1.15,2.23,1.5,0.88
2443,2443-X1,400,4000,1,2.55,0.65,1.48,0.9,1.15,2.23,1.5,0.88
2444,,1500 - 1500,16667 - 16667,2,2.55,0.5,1.63,0.9,1.21,1.85,1.63,0.31
2444,2444-X7,1500,16667,2,2.55,0.5,1.63,0.9,1.21,1.85,1.63,0.31
2445,,275 - 950,3056 - 10556,2,2.55,0.5,1.63,0.9,1.21,2.11,1.64,0.5
2445,2445-X7,950,10556,2,2.55,0.5,1.63,0.9,1.21,2.11,1.64,0.5
2445,2445-X2,275,3056,2,2.55,0.5,1.63,0.9,1.21,2.11,1.64,0.5
2445,2445-X3,350,3889,2,2.55,0.5,1.63,0.9,1.21,2.11,1.64,0.5
2445,2445-X5,575,6389,2,2.55,0.5,1.63,0.9,1.21,2.11,1.64,0.5
2446,,350 - 950,3889 - 10556,2,2.55,0.65,1.63,0.9,1.14,1.85,1.63,0.24
2446,2446-X3,350,3889,2,2.55,0.65,1.63,0.9,1.14,1.85,1.63,0.24
2446,2446-X5,575,6389,2,2.55,0.65,1.63,0.9,1.14,1.85,1.63,0.24
2446,2446-X7,950,10556,2,2.55,0.65,1.63,0.9,1.14,1.85,1.63,0.24
2447,,275 - 950,3056 - 10556,2,2.55,0.5,1.63,0.9,1.14,1.85,1.63,0.24
2447,2447-X2,275,3056,2,2.55,0.5,1.63,0.9,1.14,1.85,1.63,0.24
