Series,Part #,Load (lb),Stiffness (lb/in),A (in),B (in),C (in),D (in),E (in),F (in),G (in),Plate ID (in),Plate Thickness (in),Thread Type
2300,,18 - 18,3600 - 3600,0.88,0.33,0.52,0.52,0.6,0.35,0.28,0.53,0.11,
2300,2300-X2,18,3600,0.88,0.33,0.52,0.52,0.6,0.35,0.28,0.53,0.11,
2305,,-,-,1.29,0.33,0.66,0.52,0.88,0.22,0.22,0.63,0.25,
2305,2305,,,1.29,0.33,0.66,0.52,0.88,0.22,0.22,0.63,0.25,
2306,,-,-,1.29,0.33,0.66,0.54,1.04,0.22,0.22,0.63,0.39,
2306,2306,,,1.29,0.33,0.66,0.54,1.04,0.22,0.22,0.63,0.39,
2310,,60 - 175,1200 - 3500,1.25,0.41,0.76,0.55,0.98,0.5,0.5,0.74,0.13,
2310,2310-X0,60,1200,1.25,0.41,0.76,0.55,0.98,0.5,0.5,0.74,0.13,
2310,2310-X1,70,1400,1.25,0.41,0.76,0.55,0.98,0.5,0.5,0.74,0.13,
2310,2310-X3,110,2200,1.25,0.41,0.76,0.55,0.98,0.5,0.5,0.74,0.13,
2310,2310-X5,175,3500,1.25,0.41,0.76,0.55,0.98,0.5,0.5,0.74,0.13,
2311,,50 - 80,1000 - 1600,1.25,0.39,0.78,0.55,1.06,0.5,0.5,0.75,0.19,
2311,2311-X00,50,1000,1.25,0.39,0.78,0.55,1.06,0.5,0.5,0.75,0.19,
2311,2311-X0,60,1200,1.25,0.39,0.78,0.55,1.06,0.5,0.5,0.75,0.19,
2311,2311-X1,80,1600,1.25,0.39,0.78,0.55,1.06,0.5,0.5,0.75,0.19,
2312,,50 - 60,1000 - 1200,1.25,0.39,0.78,0.55,1.03,0.5,0.5,0.75,0.16,
2312,2312-X00,50,1000,1.25,0.39,0.78,0.55,1.03,0.5,0.5,0.75,0.16,
2312,2312-X0,60,1200,1.25,0.39,0.78,0.55,1.03,0.5,0.5,0.75,0.16,
2315,,40 - 170,1333 - 5667,1.25,0.39,0.76,0.55,0.98,0.38,0.38,0.73,0.31,
2315,2315-X00,40,1333,1.25,0.39,0.76,0.55,0.98,0.38,0.38,0.73,0.31,
2315,2315-X1,60,2000,1.25,0.39,0.76,0.55,0.98,0.38,0.38,0.73,0.31,
2315,2315-X3,95,3167,1.25,0.39,0.76,0.55,0.98,0.38,0.38,0.73,0.31,
2315,2315-X5,140,4667,1.25,0.39,0.76,0.55,0.98,0.38,0.38,0.73,0.31,
2315,2315-X6,170,5667,1.25,0.39,0.76,0.55,0.98,0.38,0.38,0.73,0.31,
2317A,,460 - 520,11500 - 13000,1.75,0.39,0.98,0.64,0.91,0.38,0.38,1,0.25,
2317A,2317A-X5,520,13000,1.75,0.39,0.98,0.64,0.91,0.38,0.38,1,0.25,
2317A,2317A-X4,460,11500,1.75,0.39,0.98,0.64,0.91,0.38,0.38,1,0.25,
2320,,45 - 400,900 - 8000,1.31,0.4,0.79,0.58,1.25,0.48,0.48,0.75,0.38,
2320,2320-X6,250,5000,1.31,0.4,0.79,0.58,1.25,0.48,0.48,0.75,0.38,
2320,2320-X7,310,6200,1.31,0.4,0.79,0.58,1.25,0.48,0.48,0.75,0.38,
2320,2320-X00,45,900,1.31,0.4,0.79,0.58,1.25,0.48,0.48,0.75,0.38,
2320,2320-X8,400,8000,1.31,0.4,0.79,0.58,1.25,0.48,0.48,0.75,0.38,
2320,2320-X0,60,1200,1.31,0.4,0.79,0.58,1.25,0.48,0.48,0.75,0.38,
2320,2320-X1,75,1500,1.31,0.4,0.79,0.58,1.25,0.48,0.48,0.75,0.38,
2320,2320-X2,90,1800,1.31,0.4,0.79,0.58,1.25,0.48,0.48,0.75,0.38,
2320,2320-X3,120,2400,1.31,0.4,0.79,0.58,1.25,0.48,0.48,0.75,0.38,
2320,2320-X4,150,3000,1.31,0.4,0.79,0.58,1.25,0.48,0.48,0.75,0.38,
2320,2320-X5,190,3800,1.31,0.4,0.79,0.58,1.25,0.48,0.48,0.75,0.38,
2325A,,260 - 410,4333 - 6833,1.64,,1.03,0.68,1.33,0.63,0.63,1.06,0.24,M10 X 1.5
2325A,2325A-X5,260,4333,1.64,,1.03,0.68,1.33,0.63,0.63,1.06,0.24,M10 X 1.5
2325A,2325A-X6,325,5417,1.64,,1.03,0.68,1.33,0.63,0.63,1.06,0.24,M10 X 1.6
2325A,2325A-X7,410,6833,1.64,,1.03,0.68,1.33,0.63,0.63,1.06,0.24,M10 X 1.7
2330,,100 - 800,1430 - 11430,1.88,0.53,1.3,0.83,1.94,0.78,0.78,1.25,0.56,
2330,2330-X5,260,3715,1.88,0.53,1.3,0.83,1.94,0.78,0.78,1.25,0.56,
2330,2330-X6,340,4860,1.88,0.53,1.3,0.83,1.94,0.78,0.78,1.25,0.56,
2330,2330-X7,500,7145,1.88,0.53,1.3,0.83,1.94,0.78,0.78,1.25,0.56,
2330,2330-X0,100,1430,1.88,0.53,1.3,0.83,1.94,0.78,0.78,1.25,0.56,
2330,2330-X8,630,9000,1.88,0.53,1.3,0.83,1.94,0.78,0.78,1.25,0.56,
2330,2330-X1,130,1860,1.88,0.53,1.3,0.83,1.94,0.78,0.78,1.25,0.56,
2330,2330-X9,800,11430,1.88,0.53,1.3,0.83,1.94,0.78,0.78,1.25,0.56,
2330,2330-X2,160,2285,1.88,0.53,1.3,0.83,1.94,0.78,0.78,1.25,0.56,
2330,2330-X3,190,2715,1.88,0.53,1.3,0.83,1.94,0.78,0.78,1.25,0.56,
2330,2330-X4,220,3140,1.88,0.53,1.3,0.83,1.94,0.78,0.78,1.25,0.56,
2330A,,130 - 700,1857 - 10000,1.88,0.53,1.23,0.83,1.94,0.78,0.78,1.25,0.56,
2330A,2330A-X0,130,1857,1.88,0.53,1.23,0.83,1.94,0.78,0.78,1.25,0.56,
2330A,2330A-X1,165,2357,1.88,0.53,1.23,0.83,1.94,0.78,0.78,1.25,0.56,
2330A,2330A-X4,300,4286,1.88,0.53,1.23,0.83,1.94,0.78,0.78,1.25,0.56,
2330A,2330A-X8,700,10000,1.88,0.53,1.23,0.83,1.94,0.78,0.78,1.25,0.56,
2330AS,,140 - 180,2000 - 2571,1.88,0.53,1.23,0.83,1.94,0.78,0.78,1.25,0.56,
2330AS,2330AS-X0,140,2000,1.88,0.53,1.23,0.83,1.94,0.78,0.78,1.25,0.56,
2330AS,2330AS-X1,180,2571,1.88,0.53,1.23,0.83,1.94,0.78,0.78,1.25,0.56,
